,title,text,clean_text
10,"11.1.1.4 enterprise environmental factors
","the enterprise environmental factors that can influence the plan risk management process include but are not
limited to overall risk thresholds set by the organization or key stakeholders.
",the enterprise environmental factor that can influence the plan risk management process include but be notlimited to overall risk threshold set by the organization or key stakeholder .
11,"11.1.1.5 organizational process assets
","the organizational process assets that can influence the plan risk management process include but are not
limited to:
the www.
@ organizational risk policy;
@ risk categories, possibly organized into a risk breakdown str
@ common definitions of risk concepts and terms;
@ risk statement formats;
@ templates for the risk management plan, risk register, and ri
@ roles and responsibilities;
@ authority levels for decision making; and

@ lessons learned repository from previous similar projects.
","the organizational process asset that can influence the plan risk management process include but be notlimited to : the www . organizational risk policy ; risk category , possibly organize into a risk breakdown str common definition of risk concept and term ; risk statement format ; template for the risk management plan , risk register , and ri role and responsibility ; authority level for decision making ; and lesson learn repository from previous similar project ."
12,"11.1.2 plan risk management: tools and techniques
",,
13,"11.1.2.1 expert judgment
",,
14,"11.1.2.2 data analysis
",,
15,"11.1.2.3 meetings
","the risk management plan may be developed as part of the project kick-off meeting or a specific planning meeting
may be held. attendees may include the project manager, selected project team members, key stakeholders, or team
members who are responsible to manage the risk management process on the project. others outside the organization
may also be invited, as needed, including customers, sellers, and regulators. a skilled facilitator can help participants
remain focused on the task, agree on key aspects of the risk approach, identify and overcome sources of bias, and
resolve any disagreements that may arise.
","the risk management plan may be develop a part of the project kick-off meeting or a specific planning meetingmay be hold . attendee may include the project manager , select project team member , key stakeholder , or teammembers who be responsible to manage the risk management process on the project . others outside the organizationmay also be invite , a need , include customer , seller , and regulator . a skilled facilitator can help participantsremain focus on the task , agree on key aspect of the risk approach , identify and overcome source of bias , andresolve any disagreement that may arise ."
16,"11.1.3 plan risk management: outputs
",,
17,"11.1.3.1 risk management plan
","@ risk strategy. describes the general approach to managing risk on this project.
> roles and responsibilities. defines the lead, support, and risk management team members for each type c
activity described in the risk management plan, and clarifies their responsibilities.
@ funding. identifies the funds needed to perform activities related to project risk management. establist
protocols for the application of contingency and management reserves.
@ timing. defines when and how often the project risk management processes will be performed throughou
project life cycle, and establishes risk management activities for inclusion into the project schedule.
@ risk categories. provide a means for grouping individual project risks. a common way to structure risk categories
is with a risk breakdown structure (rbs), which is a hierarchical representation of potential sources of risk (see
example in figure 11-4). an rbs helps the project team consider the full range of sources from which individual
project risks may arise. this can be useful when identifying risks or when categorizing identified risks. the
organization may have a generic rbs to be used for all projects, or there may be several rbs frameworks for
different types of projects, or the project may develop a tailored rbs. where an rbs is not used, an organization
may use a custom risk categorization framework, which may take the form of a simple list of categories or a
structure based on project objectives.
Figure 11-4. Extract from Sample Risk Breakdown Structure (RBS)
@ Stakeholder risk appetite. The risk appetites of key stakeholders on the project are recorded in the ris’
management plan, as they inform the details of the Plan Risk Management process. In particular, stakeholder ris
appetite should be expressed as measurable risk thresholds around each project objective. These thresholds wi
determine the acceptable level of overall project risk exposure, and they are also used to inform the definitions c
probability and impacts to be used when assessing and prioritizing individual project risks.
@ Definitions of risk probability and impacts. Definitions of risk probability and impact levels are specific to the
project context and reflect the risk appetite and thresholds of the organization and key stakeholders. The project
may generate specific definitions of probability and impact levels or it may start with general definitions provided
by the organization. The number of levels reflects the degree of detail required for the Project Risk Management
process, with more levels used for a more detailed risk approach (typically five levels), and fewer for a simple
process (usually three). Table 11-1 provides an example of definitions of probability and impacts against three
project objectives. These scales can be used to evaluate both threats and opportunities by interpreting the impact
definitions as negative for threats (delay, additional cost, and performance shortfall) and positive for opportunities
(reduced time or cost, and performance enhancement).
Table 11-1. Example of Definitions for Probability and Impacts
@ Probability and impact matrix. Described in Section 11.3.2.6. Prioritization rules may be specified by the
organization in advance of the project and be included in organizational process assets, or they may be tailored to
the specific project. Opportunities and threats are represented in a common probability and impact matrix using
positive definitions of impact for opportunities and negative impact definitions for threats. Descriptive terms
(such as very high, high, medium, low, and very low) or numeric values can be used for probability and impact.
Where numeric values are used, these can be multiplied to give a probability-impact score for each risk, which
allows the relative priority of individual risks to be evaluated within each priority level. An example probability and
impact matrix is presented in Figure 11-5, which also shows a possible numeric risk scoring scheme.
Figure 11-5. Example Probability and Impact Matrix with Scoring Scheme
@ Reporting formats. Reporting formats define how the outcomes of the Project Risk Management process will
be documented, analyzed, and communicated. This section of the risk management plan describes the content
and format of the risk register and the risk report, as well as any other required outputs from the Project Risk
Management processes.
","risk strategy . describe the general approach to manage risk on this project. > role and responsibility . define the lead , support , and risk management team member for each type cactivity describe in the risk management plan , and clarifies their responsibility . funding . identify the fund need to perform activity relate to project risk management . establistprotocols for the application of contingency and management reserve . timing . defines when and how often the project risk management process will be perform throughouproject life cycle , and establishes risk management activity for inclusion into the project schedule . risk category . provide a mean for group individual project risk . a common way to structure risk categoriesis with a risk breakdown structure ( rb ) , which be a hierarchical representation of potential source of risk ( seeexample in figure 11-4 ) . an rb help the project team consider the full range of source from which individualproject risk may arise . this can be useful when identify risk or when categorize identify risk . theorganization may have a generic rb to be use for all project , or there may be several rb framework fordifferent type of project , or the project may develop a tailored rb . where an rb be not use , an organizationmay use a custom risk categorization framework , which may take the form of a simple list of category or astructure base on project objectives.figure 11-4 . extract from sample risk breakdown structure ( rb ) stakeholder risk appetite . the risk appetite of key stakeholder on the project be record in the ri ’ management plan , a they inform the detail of the plan risk management process . in particular , stakeholder risappetite should be express a measurable risk threshold around each project objective . these threshold widetermine the acceptable level of overall project risk exposure , and they be also use to inform the definition cprobability and impact to be use when assess and prioritize individual project risk . definition of risk probability and impact . definition of risk probability and impact level be specific to theproject context and reflect the risk appetite and threshold of the organization and key stakeholder . the projectmay generate specific definition of probability and impact level or it may start with general definition providedby the organization . the number of level reflect the degree of detail require for the project risk managementprocess , with more level use for a more detailed risk approach ( typically five level ) , and few for a simpleprocess ( usually three ) . table 11-1 provide an example of definition of probability and impact against threeproject objective . these scale can be use to evaluate both threat and opportunity by interpret the impactdefinitions a negative for threat ( delay , additional cost , and performance shortfall ) and positive for opportunity ( reduced time or cost , and performance enhancement ) .table 11-1 . example of definition for probability and impact probability and impact matrix . describe in section 11.3.2.6 . prioritization rule may be specify by theorganization in advance of the project and be include in organizational process asset , or they may be tailor tothe specific project . opportunity and threat be represent in a common probability and impact matrix usingpositive definition of impact for opportunity and negative impact definition for threat . descriptive term ( such a very high , high , medium , low , and very low ) or numeric value can be use for probability and impact.where numeric value be use , these can be multiply to give a probability-impact score for each risk , whichallows the relative priority of individual risk to be evaluate within each priority level . an example probability andimpact matrix be present in figure 11-5 , which also show a possible numeric risk score scheme.figure 11-5 . example probability and impact matrix with score scheme reporting format . report format define how the outcome of the project risk management process willbe document , analyze , and communicate . this section of the risk management plan describe the contentand format of the risk register and the risk report , as well a any other require output from the project riskmanagement process ."
18,"11.2 identify risks
","identify risks is the process of identifying individual project risks as well as sources of overall project risk, and
documenting their characteristics. the key benefit of this process is the documentation of existing individual project risks
and the sources of overall project risk. it also brings together information so the project team can respond appropriately
to identified risks. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the
process are depicted in figure 11-6. figure 11-7 depicts the data flow diagram for the process.
figure 11-6. identify risks: inputs, tools & techniques, and outputs
Figure 11-7. Identify Risks: Data Flow Diagram
Identify Risks considers both individual project risks and sources of overall project risk. Participants in risk
identification activities may include the following: project manager, project team members, project risk specialist
(if assigned), customers, subject matter experts from outside the project team, end users, other project managers,
operations managers, stakeholders, and risk management experts within the organization. While these personnel are
often key participants for risk identification, all project stakeholders should be encouraged to identify individual project
risks. It is particularly important to involve the project team so they can develop and maintain a sense of ownership and
responsibility for identified individual project risks, the level of overall project risk, and associated risk response actions.
When describing and recording individual project risks, a consistent format should be used for risk statements to
ensure that each risk is understood clearly and unambiguously in order to support effective analysis and risk response
development. Risk owners for individual project risks may be nominated as part of the Identify Risks process, and will
be confirmed during the Perform Qualitative Risk Analysis process. Preliminary risk responses may also be identified
and recorded and will be reviewed and confirmed as part of the Plan Risk Responses process.
Identify Risks is an iterative process, since new individual project risks may emerge as the project progresses through
S life cycle and the level of overall project risk will also change. The frequency of iteration and participation in each risk
lentification cycle will vary by situation, and this will be defined in the risk management plan.
","identify risk be the process of identify individual project risk as well a source of overall project risk , anddocumenting their characteristic . the key benefit of this process be the documentation of exist individual project risksand the source of overall project risk . it also bring together information so the project team can respond appropriatelyto identified risk . this process be perform throughout the project . the input , tool and technique , and output of theprocess be depict in figure 11-6. figure 11-7 depict the data flow diagram for the process.figure 11-6. identify risk : input , tool & technique , and outputsfigure 11-7 . identify risk : data flow diagramidentify risk considers both individual project risk and source of overall project risk . participant in riskidentification activity may include the following : project manager , project team member , project risk specialist ( if assign ) , customer , subject matter expert from outside the project team , end user , other project manager , operation manager , stakeholder , and risk management expert within the organization . while these personnel areoften key participant for risk identification , all project stakeholder should be encourage to identify individual projectrisks . it be particularly important to involve the project team so they can develop and maintain a sense of ownership andresponsibility for identified individual project risk , the level of overall project risk , and associate risk response actions.when describe and record individual project risk , a consistent format should be use for risk statement toensure that each risk be understood clearly and unambiguously in order to support effective analysis and risk responsedevelopment . risk owner for individual project risk may be nominate a part of the identify risk process , and willbe confirm during the perform qualitative risk analysis process . preliminary risk response may also be identifiedand record and will be review and confirm a part of the plan risk responses process.identify risk be an iterative process , since new individual project risk may emerge a the project progress throughs life cycle and the level of overall project risk will also change . the frequency of iteration and participation in each risklentification cycle will vary by situation , and this will be define in the risk management plan ."
19,"11.2.1 identify risks: inputs
",,
20,"11.2.1.1 project management plan
",,
21,"11.2.1.1 project management plan
","described in section 4.2.3.1. project management plan components include but are not limited to:
@ quality management plan. described in section 8.1.3.1. the quality management plan may identify areas that
are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk.
@ resource management plan. described in section 9.1.3.1. the resource management plan may identify
areas that are subject to uncertainty or ambiguity, or where key assumptions have been made that might give
rise to risk.
@ Risk management plan. Described in Section 11.1.3.1. The risk management plan provides information on
risk-related roles and responsibilities, indicates how risk management activities are included in the budget and
schedule, and describes categories of risk, which may be expressed as a risk breakdown structure (Figure 11-4).
@ Scope baseline. Described in Section 5.4.3.1. The scope baseline includes deliverables and criteria for their
acceptance, some of which might give rise to risk. It also contains the WBS, which can be used as a framework
to structure risk identification techniques.
@ Schedule baseline. Described in Section 6.5.3.1. The schedule baseline may be reviewed to identify milestones
and deliverable due dates that are subject to uncertainty or ambiguity, or where key assumptions have been
made that might give rise to risk.
@ Cost baseline. Described in Section 7.3.3.1. The cost baseline may be reviewed to identify costs or funding
requirements that are subject to uncertainty or ambiguity, or where key assumptions have been made that might
give rise to risk.
","describe in section 4.2.3.1. project management plan component include but be not limit to : quality management plan . describe in section 8.1.3.1. the quality management plan may identify area thatare subject to uncertainty or ambiguity , or where key assumption have be make that might give rise to risk . resource management plan . describe in section 9.1.3.1. the resource management plan may identifyareas that be subject to uncertainty or ambiguity , or where key assumption have be make that might giverise to risk . risk management plan . describe in section 11.1.3.1 . the risk management plan provide information onrisk-related role and responsibility , indicate how risk management activity be include in the budget andschedule , and describes category of risk , which may be express a a risk breakdown structure ( figure 11-4 ) . scope baseline . describe in section 5.4.3.1 . the scope baseline include deliverable and criterion for theiracceptance , some of which might give rise to risk . it also contain the wb , which can be use a a frameworkto structure risk identification technique . schedule baseline . describe in section 6.5.3.1 . the schedule baseline may be review to identify milestonesand deliverable due date that be subject to uncertainty or ambiguity , or where key assumption have beenmade that might give rise to risk . cost baseline . describe in section 7.3.3.1 . the cost baseline may be review to identify cost or fundingrequirements that be subject to uncertainty or ambiguity , or where key assumption have be make that mightgive rise to risk ."
22,"11.2.1.2 project documents
","project documents that can be considered as inputs for this process include but are not limited to:
@ assumption log. described in section 4.1.3.2. assumptions and constraints recorded in the assumpt
give rise to individual project risks and may also influence the level of overall project risk.
@ cost estimates. described in section 7.2.3.1. cost estimates provide quantitative assessments of project costs,
ideally expressed as a range, indicating the degree of risk, where a structured review of the documents may
indicate that the current estimate is insufficient and poses a risk to the project.
@ duration estimates. described in section 6.4.3.1. duration estimates provide quantitative assessments of
project durations, ideally expressed as a range, indicating the degree of risk, where a structured review of the
documents may indicate that the current estimate is insufficient and poses a risk to the project.
essons learned register. described in section 4.4.3.1. lessons learned about risk identified from earlier phases
the project are reviewed to determine whether similar risks might recur during the remainder of the project.
@ Resource requirements. Described in Section 9.2.3.1. Resource requirements provide quantitative
assessments of project resource requirements, ideally expressed as a range, indicating the degree of risk,
where a structured review of the documents may indicate that the current estimate is insufficient and poses
a risk to the project.
@ Stakeholder register. Described in Section 13.1.3.1. The stakeholder register indicates which individuals or
groups might participate in identifying risks to the project. It also details those individuals who are available to
act as risk owners.
","project document that can be consider a input for this process include but be not limit to : assumption log . describe in section 4.1.3.2. assumption and constraint record in the assumptgive rise to individual project risk and may also influence the level of overall project risk . cost estimate . describe in section 7.2.3.1. cost estimate provide quantitative assessment of project cost , ideally express a a range , indicate the degree of risk , where a structured review of the document mayindicate that the current estimate be insufficient and pose a risk to the project . duration estimate . describe in section 6.4.3.1. duration estimate provide quantitative assessment ofproject duration , ideally express a a range , indicate the degree of risk , where a structured review of thedocuments may indicate that the current estimate be insufficient and pose a risk to the project.essons learn register . describe in section 4.4.3.1. lesson learn about risk identify from early phasesthe project be review to determine whether similar risk might recur during the remainder of the project . resource requirement . describe in section 9.2.3.1 . resource requirement provide quantitativeassessments of project resource requirement , ideally express a a range , indicate the degree of risk , where a structured review of the document may indicate that the current estimate be insufficient and posesa risk to the project . stakeholder register . describe in section 13.1.3.1 . the stakeholder register indicate which individual orgroups might participate in identify risk to the project . it also detail those individual who be available toact a risk owner ."
